Lake,Core,Time_median,Period,Metabarcoding_Sample_ID,Species,Method,relative_abundance,Meta_presence_absence
Pounui,Depocenter,1306,Prehuman,CAW-22-07-P2-58,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1282,Prehuman,CAW-22-07-P2-59,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,1248,Prehuman,CAW-22-07-P2-60,Anguilla australis,ddPCR,0,Absent
Pounui,Depocenter,2021,European,CAW-22-07-P2-31,Perca fluviatilis,Metabarcoding,0.345513165,Present
Pounui,Depocenter,2018,European,CAW-22-07-P2-32,Perca fluviatilis,Metabarcoding,1,Present
Pounui,Depocenter,2012,European,CAW-22-07-P2-33,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,2007,European,CAW-22-07-P2-34,Perca fluviatilis,Metabarcoding,0.772251309,Present
Pounui,Depocenter,2000,European,CAW-22-07-P2-35,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1994,European,CAW-22-07-P2-36,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1987,European,CAW-22-07-P2-37,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1980,European,CAW-22-07-P2-38,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1973,European,CAW-22-07-P2-39,Perca fluviatilis,Metabarcoding,1,Present
Pounui,Depocenter,1958,European,CAW-22-07-P2-40,Perca fluviatilis,Metabarcoding,1,Present
Pounui,Depocenter,1944,European,CAW-22-07-P2-41,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1930,European,CAW-22-07-P2-42,Perca fluviatilis,Metabarcoding,1,Present
Pounui,Depocenter,1917,European,CAW-22-07-P2-43,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1907,European,CAW-22-07-P2-44,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1897,European,CAW-22-07-P2-45,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1889,European,CAW-22-07-P2-46,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1870,European,CAW-22-07-P2-47,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1857,European,CAW-22-07-P2-48,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1848,European,CAW-22-07-P2-49,Perca fluviatilis,Metabarcoding,1,Present
Pounui,Depocenter,1795,Maori,CAW-22-07-P2-50,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1719,Maori,CAW-22-07-P2-51,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1653,Maori,CAW-22-07-P2-52,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1572,Maori,CAW-22-07-P2-53,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1476,Maori,CAW-22-07-P2-54,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1392,Prehuman,CAW-22-07-P2-55,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1348,Prehuman,CAW-22-07-P2-56,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1323,Prehuman,CAW-22-07-P2-57,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1306,Prehuman,CAW-22-07-P2-58,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1282,Prehuman,CAW-22-07-P2-59,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,1248,Prehuman,CAW-22-07-P2-60,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Depocenter,2021,European,CAW-22-07-P2-31,Perca fluviatilis,ddPCR,0.95,Present
Pounui,Depocenter,2018,European,CAW-22-07-P2-32,Perca fluviatilis,ddPCR,0.26,Present
Pounui,Depocenter,2012,European,CAW-22-07-P2-33,Perca fluviatilis,ddPCR,0.12,Present
Pounui,Depocenter,2007,European,CAW-22-07-P2-34,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,2000,European,CAW-22-07-P2-35,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1994,European,CAW-22-07-P2-36,Perca fluviatilis,ddPCR,0.06,Present
Pounui,Depocenter,1987,European,CAW-22-07-P2-37,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1980,European,CAW-22-07-P2-38,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1973,European,CAW-22-07-P2-39,Perca fluviatilis,ddPCR,0.16,Present
Pounui,Depocenter,1958,European,CAW-22-07-P2-40,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1944,European,CAW-22-07-P2-41,Perca fluviatilis,ddPCR,0.09,Present
Pounui,Depocenter,1930,European,CAW-22-07-P2-42,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1917,European,CAW-22-07-P2-43,Perca fluviatilis,ddPCR,0.11,Present
Pounui,Depocenter,1907,European,CAW-22-07-P2-44,Perca fluviatilis,ddPCR,0.12,Present
Pounui,Depocenter,1897,European,CAW-22-07-P2-45,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1889,European,CAW-22-07-P2-46,Perca fluviatilis,ddPCR,0.14,Present
Pounui,Depocenter,1870,European,CAW-22-07-P2-47,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1857,European,CAW-22-07-P2-48,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1848,European,CAW-22-07-P2-49,Perca fluviatilis,ddPCR,0.14,Present
Pounui,Depocenter,1795,Maori,CAW-22-07-P2-50,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1719,Maori,CAW-22-07-P2-51,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1653,Maori,CAW-22-07-P2-52,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1572,Maori,CAW-22-07-P2-53,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1476,Maori,CAW-22-07-P2-54,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1392,Prehuman,CAW-22-07-P2-55,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1348,Prehuman,CAW-22-07-P2-56,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1323,Prehuman,CAW-22-07-P2-57,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1306,Prehuman,CAW-22-07-P2-58,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1282,Prehuman,CAW-22-07-P2-59,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,1248,Prehuman,CAW-22-07-P2-60,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,2021,European,CAW-22-07-P2-1,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,2019,European,CAW-22-07-P2-2,Anguilla australis,Metabarcoding,0.949074074,Present
Pounui,Nearshore,2018,European,CAW-22-07-P2-3,Anguilla australis,Metabarcoding,0.00106082,Present
Pounui,Nearshore,2016,European,CAW-22-07-P2-4,Anguilla australis,Metabarcoding,1,Present
Pounui,Nearshore,2014,European,CAW-22-07-P2-5,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,2006,European,CAW-22-07-P2-6,Anguilla australis,Metabarcoding,0.390334572,Present
Pounui,Nearshore,1999,European,CAW-22-07-P2-7,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1991,European,CAW-22-07-P2-8,Anguilla australis,Metabarcoding,0.418528252,Present
Pounui,Nearshore,1976,European,CAW-22-07-P2-9,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1963,European,CAW-22-07-P2-10,Anguilla australis,Metabarcoding,1,Present
Pounui,Nearshore,1929,European,CAW-22-07-P2-11,Anguilla australis,Metabarcoding,0.522044574,Present
Pounui,Nearshore,1920,European,CAW-22-07-P2-12,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1907,European,CAW-22-07-P2-13,Anguilla australis,Metabarcoding,0.568378995,Present
Pounui,Nearshore,1894,European,CAW-22-07-P2-14,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1886,European,CAW-22-07-P2-15,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1878,European,CAW-22-07-P2-16,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1870,European,CAW-22-07-P2-17,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1862,European,CAW-22-07-P2-18,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1852,European,CAW-22-07-P2-19,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1816,Maori,CAW-22-07-P2-20,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1734,Maori,CAW-22-07-P2-21,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1687,Maori,CAW-22-07-P2-22,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1586,Maori,CAW-22-07-P2-23,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1487,Maori,CAW-22-07-P2-24,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1438,Maori,CAW-22-07-P2-25,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1326,Prehuman,CAW-22-07-P2-26,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1251,Prehuman,CAW-22-07-P2-27,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,1097,Prehuman,CAW-22-07-P2-28,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,892,Prehuman,CAW-22-07-P2-29,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,759,Prehuman,CAW-22-07-P2-30,Anguilla australis,Metabarcoding,0,Absent
Pounui,Nearshore,2021,European,CAW-22-07-P2-1,Anguilla australis,ddPCR,0.238,Present
Pounui,Nearshore,2019,European,CAW-22-07-P2-2,Anguilla australis,ddPCR,0.49,Present
Pounui,Nearshore,2018,European,CAW-22-07-P2-3,Anguilla australis,ddPCR,0.237,Present
Pounui,Nearshore,2016,European,CAW-22-07-P2-4,Anguilla australis,ddPCR,0.62,Present
Pounui,Nearshore,2014,European,CAW-22-07-P2-5,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,2006,European,CAW-22-07-P2-6,Anguilla australis,ddPCR,0.12,Present
Pounui,Nearshore,1999,European,CAW-22-07-P2-7,Anguilla australis,ddPCR,0.16,Present
Pounui,Nearshore,1991,European,CAW-22-07-P2-8,Anguilla australis,ddPCR,0.6,Present
Pounui,Nearshore,1976,European,CAW-22-07-P2-9,Anguilla australis,ddPCR,0.254,Present
Pounui,Nearshore,1963,European,CAW-22-07-P2-10,Anguilla australis,ddPCR,0.14,Present
Pounui,Nearshore,1929,European,CAW-22-07-P2-11,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,1920,European,CAW-22-07-P2-12,Anguilla australis,ddPCR,0.07,Present
Pounui,Nearshore,1907,European,CAW-22-07-P2-13,Anguilla australis,ddPCR,0.065,Present
Pounui,Nearshore,1894,European,CAW-22-07-P2-14,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,1886,European,CAW-22-07-P2-15,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,1878,European,CAW-22-07-P2-16,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,1870,European,CAW-22-07-P2-17,Anguilla australis,ddPCR,0.07,Present
Pounui,Nearshore,1862,European,CAW-22-07-P2-18,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,1852,European,CAW-22-07-P2-19,Anguilla australis,ddPCR,0.145,Present
Pounui,Nearshore,1816,Maori,CAW-22-07-P2-20,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,1734,Maori,CAW-22-07-P2-21,Anguilla australis,ddPCR,0.18,Present
Pounui,Nearshore,1687,Maori,CAW-22-07-P2-22,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,1586,Maori,CAW-22-07-P2-23,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,1487,Maori,CAW-22-07-P2-24,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,1438,Maori,CAW-22-07-P2-25,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,1326,Prehuman,CAW-22-07-P2-26,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,1251,Prehuman,CAW-22-07-P2-27,Anguilla australis,ddPCR,0.11,Present
Pounui,Nearshore,1097,Prehuman,CAW-22-07-P2-28,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,892,Prehuman,CAW-22-07-P2-29,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,759,Prehuman,CAW-22-07-P2-30,Anguilla australis,ddPCR,0,Absent
Pounui,Nearshore,2021,European,CAW-22-07-P2-1,Perca fluviatilis,Metabarcoding,1,Present
Pounui,Nearshore,2019,European,CAW-22-07-P2-2,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,2018,European,CAW-22-07-P2-3,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,2016,European,CAW-22-07-P2-4,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,2014,European,CAW-22-07-P2-5,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,2006,European,CAW-22-07-P2-6,Perca fluviatilis,Metabarcoding,0.334572491,Present
Pounui,Nearshore,1999,European,CAW-22-07-P2-7,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1991,European,CAW-22-07-P2-8,Perca fluviatilis,Metabarcoding,0.581471748,Present
Pounui,Nearshore,1976,European,CAW-22-07-P2-9,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1963,European,CAW-22-07-P2-10,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1929,European,CAW-22-07-P2-11,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1920,European,CAW-22-07-P2-12,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1907,European,CAW-22-07-P2-13,Perca fluviatilis,Metabarcoding,0.431621005,Present
Pounui,Nearshore,1894,European,CAW-22-07-P2-14,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1886,European,CAW-22-07-P2-15,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1878,European,CAW-22-07-P2-16,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1870,European,CAW-22-07-P2-17,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1862,European,CAW-22-07-P2-18,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1852,European,CAW-22-07-P2-19,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1816,Maori,CAW-22-07-P2-20,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1734,Maori,CAW-22-07-P2-21,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1687,Maori,CAW-22-07-P2-22,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1586,Maori,CAW-22-07-P2-23,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1487,Maori,CAW-22-07-P2-24,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1438,Maori,CAW-22-07-P2-25,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1326,Prehuman,CAW-22-07-P2-26,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1251,Prehuman,CAW-22-07-P2-27,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,1097,Prehuman,CAW-22-07-P2-28,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,892,Prehuman,CAW-22-07-P2-29,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,759,Prehuman,CAW-22-07-P2-30,Perca fluviatilis,Metabarcoding,0,Absent
Pounui,Nearshore,2021,European,CAW-22-07-P2-1,Perca fluviatilis,ddPCR,6.32,Present
Pounui,Nearshore,2019,European,CAW-22-07-P2-2,Perca fluviatilis,ddPCR,0.56,Present
Pounui,Nearshore,2018,European,CAW-22-07-P2-3,Perca fluviatilis,ddPCR,0.45,Present
Pounui,Nearshore,2016,European,CAW-22-07-P2-4,Perca fluviatilis,ddPCR,0.4,Present
Pounui,Nearshore,2014,European,CAW-22-07-P2-5,Perca fluviatilis,ddPCR,0.22,Present
Pounui,Nearshore,2006,European,CAW-22-07-P2-6,Perca fluviatilis,ddPCR,0.36,Present
Pounui,Nearshore,1999,European,CAW-22-07-P2-7,Perca fluviatilis,ddPCR,0.26,Present
Pounui,Nearshore,1991,European,CAW-22-07-P2-8,Perca fluviatilis,ddPCR,0.18,Present
Pounui,Nearshore,1976,European,CAW-22-07-P2-9,Perca fluviatilis,ddPCR,0.18,Present
Pounui,Nearshore,1963,European,CAW-22-07-P2-10,Perca fluviatilis,ddPCR,0.16,Present
Pounui,Nearshore,1929,European,CAW-22-07-P2-11,Perca fluviatilis,ddPCR,0.14,Present
Pounui,Nearshore,1920,European,CAW-22-07-P2-12,Perca fluviatilis,ddPCR,0.06,Present
Pounui,Nearshore,1907,European,CAW-22-07-P2-13,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,1894,European,CAW-22-07-P2-14,Perca fluviatilis,ddPCR,0.11,Present
Pounui,Nearshore,1886,European,CAW-22-07-P2-15,Perca fluviatilis,ddPCR,0.06,Present
Pounui,Nearshore,1878,European,CAW-22-07-P2-16,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,1870,European,CAW-22-07-P2-17,Perca fluviatilis,ddPCR,0.11,Present
Pounui,Nearshore,1862,European,CAW-22-07-P2-18,Perca fluviatilis,ddPCR,0.11,Present
Pounui,Nearshore,1852,European,CAW-22-07-P2-19,Perca fluviatilis,ddPCR,0.13,Present
Pounui,Nearshore,1816,Maori,CAW-22-07-P2-20,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,1734,Maori,CAW-22-07-P2-21,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,1687,Maori,CAW-22-07-P2-22,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,1586,Maori,CAW-22-07-P2-23,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,1487,Maori,CAW-22-07-P2-24,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,1438,Maori,CAW-22-07-P2-25,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,1326,Prehuman,CAW-22-07-P2-26,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,1251,Prehuman,CAW-22-07-P2-27,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,1097,Prehuman,CAW-22-07-P2-28,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,892,Prehuman,CAW-22-07-P2-29,Perca fluviatilis,ddPCR,0,Absent
Pounui,Nearshore,759,Prehuman,CAW-22-07-P2-30,Perca fluviatilis,ddPCR,0,Absent
Pounui,Depocenter,2021,European,CAW-22-07-P2-31,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,2018,European,CAW-22-07-P2-32,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,2012,European,CAW-22-07-P2-33,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,2007,European,CAW-22-07-P2-34,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,2000,European,CAW-22-07-P2-35,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1994,European,CAW-22-07-P2-36,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,1987,European,CAW-22-07-P2-37,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1980,European,CAW-22-07-P2-38,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,1973,European,CAW-22-07-P2-39,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,1958,European,CAW-22-07-P2-40,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,1944,European,CAW-22-07-P2-41,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1930,European,CAW-22-07-P2-42,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,1917,European,CAW-22-07-P2-43,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,1907,European,CAW-22-07-P2-44,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1897,European,CAW-22-07-P2-45,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1889,European,CAW-22-07-P2-46,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1870,European,CAW-22-07-P2-47,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1857,European,CAW-22-07-P2-48,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1848,European,CAW-22-07-P2-49,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1795,Maori,CAW-22-07-P2-50,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1719,Maori,CAW-22-07-P2-51,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1653,Maori,CAW-22-07-P2-52,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,1572,Maori,CAW-22-07-P2-53,Echyridella menziesii,Metabarcoding,,Present
Pounui,Depocenter,1476,Maori,CAW-22-07-P2-54,Echyridella menziesii,Metabarcoding,,Absent
Pounui,Depocenter,1392,Maori,CAW-22-07-P2-55,Echyridella menziesii,Metabarcoding,,Absent
